DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
02/04/2005;00:00:01;56103;1.2968;1.2867;1.2862;1.3039
02/06/2005;00:00:01;2;1.2867;1.2863;1.2863;1.2867
02/07/2005;00:00:01;61864;1.2859;1.276;1.2731;1.2865
02/08/2005;00:00:01;53383;1.2758;1.2768;1.2729;1.2799
02/09/2005;00:00:01;56136;1.2767;1.2809;1.2737;1.2814
02/10/2005;00:00:01;60862;1.2808;1.2873;1.2738;1.2907
02/11/2005;00:00:01;45243;1.2875;1.2864;1.2843;1.2896
02/14/2005;00:00:01;62579;1.2862;1.2969;1.286;1.2989
02/15/2005;00:00:01;60536;1.2969;1.3012;1.2951;1.3051
02/16/2005;00:00:01;69590;1.3013;1.3021;1.2958;1.3064
02/17/2005;00:00:01;58674;1.3022;1.3071;1.3013;1.3089
02/18/2005;00:00:01;50806;1.3071;1.3072;1.3013;1.3082
02/21/2005;00:00:01;38615;1.3068;1.3061;1.3031;1.3079
02/22/2005;00:00:01;69955;1.3061;1.3258;1.3051;1.3268
02/23/2005;00:00:01;68272;1.3257;1.32;1.3182;1.3274
02/24/2005;00:00:01;60718;1.3198;1.3178;1.3175;1.327
02/25/2005;00:00:01;55549;1.3177;1.3243;1.3143;1.3248
02/28/2005;00:00:01;61185;1.3239;1.3215;1.3206;1.3279
03/01/2005;00:00:01;58137;1.3215;1.3169;1.3161;1.3226
03/02/2005;00:00:01;55257;1.317;1.3135;1.3087;1.3178
03/03/2005;00:00:01;53164;1.3134;1.3102;1.3095;1.3166
03/04/2005;00:00:01;47053;1.3101;1.3235;1.3092;1.3254
03/07/2005;00:00:01;45586;1.3239;1.3217;1.3176;1.3247
03/08/2005;00:00:01;53991;1.3217;1.3346;1.3204;1.3363
03/09/2005;00:00:01;63299;1.3344;1.3374;1.3325;1.3423
03/10/2005;00:00:01;64797;1.3371;1.3437;1.3367;1.3453
03/11/2005;00:00:01;52044;1.3438;1.3457;1.3395;1.3481
03/14/2005;00:00:01;55272;1.3457;1.3361;1.3334;1.3477
03/15/2005;00:00:01;55568;1.3357;1.3306;1.3295;1.3408
03/16/2005;00:00:01;57345;1.3308;1.3408;1.3289;1.344
03/17/2005;00:00:01;54131;1.3408;1.3378;1.3341;1.3419
03/18/2005;00:00:01;46626;1.3377;1.3324;1.3264;1.3385
03/21/2005;00:00:01;61456;1.3323;1.3157;1.3139;1.3323
03/22/2005;00:00:01;56680;1.3156;1.3073;1.3053;1.3219
03/23/2005;00:00:01;62035;1.3074;1.299;1.2957;1.3086
03/24/2005;00:00:01;55590;1.2987;1.2928;1.2926;1.3032
03/25/2005;00:00:01;20751;1.2928;1.2957;1.2924;1.297
03/28/2005;00:00:01;50256;1.2957;1.2884;1.2854;1.2966
03/29/2005;00:00:01;69644;1.2882;1.2935;1.2877;1.2957
03/30/2005;00:00:01;72603;1.2934;1.2923;1.2906;1.2987
03/31/2005;00:00:01;72231;1.2922;1.2962;1.2909;1.3021
04/01/2005;00:00:01;62262;1.2963;1.2912;1.2867;1.3048
04/02/2005;00:00:01;1;1.2912;1.2912;1.2912;1.2916
04/04/2005;00:00:01;65629;1.2908;1.2847;1.2817;1.2908
04/05/2005;00:00:01;67600;1.2845;1.2847;1.2798;1.2877
04/06/2005;00:00:01;70078;1.2845;1.2872;1.2836;1.291
04/07/2005;00:00:01;72413;1.2872;1.2833;1.283;1.2941
04/08/2005;00:00:01;60969;1.2833;1.2933;1.2805;1.2942
04/10/2005;00:00:01;3;1.2933;1.2933;1.2929;1.2937
04/11/2005;00:00:01;66495;1.293;1.2977;1.2902;1.3004
04/12/2005;00:00:01;66840;1.2974;1.2902;1.286;1.3009
04/13/2005;00:00:01;71909;1.2902;1.2906;1.2847;1.2955
04/14/2005;00:00:01;82809;1.2905;1.2811;1.2767;1.291
04/15/2005;00:00:01;74959;1.281;1.2921;1.2776;1.2942
04/16/2005;00:00:01;1;1.2921;1.2921;1.2921;1.2923
04/18/2005;00:00:01;80524;1.292;1.3011;1.2873;1.3045
04/19/2005;00:00:01;75124;1.3011;1.306;1.298;1.3078
04/20/2005;00:00:01;74549;1.3061;1.31;1.2989;1.3107
04/21/2005;00:00:01;74379;1.3099;1.3037;1.3023;1.3125
04/22/2005;00:00:01;47029;1.3037;1.3059;1.3018;1.3094
04/25/2005;00:00:01;70962;1.3063;1.2986;1.2953;1.3071
04/26/2005;00:00:01;65358;1.2986;1.2975;1.2943;1.3015
04/27/2005;00:00:01;75075;1.2973;1.2926;1.2901;1.2989
04/28/2005;00:00:01;74488;1.2926;1.2902;1.288;1.2942
04/29/2005;00:00:01;75735;1.2901;1.2872;1.285;1.298
05/02/2005;00:00:01;55897;1.2868;1.2854;1.2835;1.2875
05/03/2005;00:00:01;65762;1.2853;1.2877;1.2826;1.2911
05/04/2005;00:00:01;71585;1.2876;1.2942;1.2872;1.2974
05/05/2005;00:00:01;66761;1.2942;1.2947;1.2924;1.299
05/06/2005;00:00:01;61383;1.2944;1.2835;1.2808;1.2964
05/09/2005;00:00:01;79732;1.2831;1.2844;1.2788;1.2877
05/10/2005;00:00:01;69363;1.2845;1.2875;1.2813;1.2891
05/11/2005;00:00:01;76662;1.2874;1.2802;1.2775;1.2913
05/12/2005;00:00:01;79570;1.2803;1.2681;1.2663;1.2809
05/13/2005;00:00:01;71482;1.2681;1.2633;1.2608;1.2688
05/15/2005;00:00:01;1;1.2633;1.2633;1.2633;1.2635
05/16/2005;00:00:01;69877;1.2629;1.2625;1.2577;1.2651
05/17/2005;00:00:01;70069;1.2624;1.2591;1.2587;1.2664
05/18/2005;00:00:01;70324;1.2587;1.267;1.2583;1.269
05/19/2005;00:00:01;58107;1.2668;1.2631;1.2603;1.2691
05/20/2005;00:00:01;65422;1.2627;1.2548;1.2533;1.2655
05/23/2005;00:00:01;87813;1.2548;1.2572;1.253;1.2596
05/24/2005;00:00:01;94230;1.2571;1.2559;1.2551;1.2627
05/25/2005;00:00:01;74967;1.2559;1.2604;1.2547;1.2618
05/26/2005;00:00:01;86425;1.2602;1.2508;1.249;1.2613
05/27/2005;00:00:01;67781;1.2508;1.2582;1.2504;1.2587
05/30/2005;00:00:01;80077;1.2578;1.2479;1.2456;1.2578
05/31/2005;00:00:01;110701;1.2479;1.2298;1.2289;1.248
06/01/2005;00:00:01;109093;1.2298;1.2195;1.2155;1.234
06/02/2005;00:00:01;101751;1.2197;1.2271;1.2178;1.2296
06/03/2005;00:00:01;97550;1.2269;1.2234;1.2199;1.2341
06/06/2005;00:00:01;104933;1.223;1.2261;1.2212;1.2293
06/07/2005;00:00:01;99048;1.2261;1.2282;1.2234;1.2313
06/08/2005;00:00:01;88232;1.2281;1.2237;1.2202;1.2351
06/09/2005;00:00:01;91337;1.2236;1.2229;1.2173;1.2255
06/10/2005;00:00:01;80393;1.2225;1.2117;1.2103;1.2248
06/13/2005;00:00:01;99442;1.2113;1.2101;1.2023;1.2119
06/14/2005;00:00:01;94478;1.2103;1.2027;1.2011;1.2151
06/15/2005;00:00:01;91197;1.2028;1.211;1.2022;1.2132
06/16/2005;00:00:01;94471;1.2108;1.2104;1.2054;1.2167
06/17/2005;00:00:01;87838;1.2104;1.2278;1.2085;1.229
06/20/2005;00:00:01;89924;1.2268;1.2128;1.212;1.2268
06/21/2005;00:00:01;105862;1.2129;1.2184;1.2065;1.2207
06/22/2005;00:00:01;100514;1.2181;1.2129;1.2096;1.2199
06/23/2005;00:00:01;98251;1.2127;1.2022;1.2012;1.2146
