DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
05/12/1986;00:00:01;0;.9839;.9813;.9737;.9894
05/19/1986;00:00:01;0;.9775;.96195;.9539;.9827
05/26/1986;00:00:01;0;.9555;.9404;.9359;.9581
06/02/1986;00:00:01;0;.94515;.9385;.9179;.9487
06/09/1986;00:00:01;0;.9456;.96075;.9416;.9681
06/16/1986;00:00:01;0;.9693;.9629;.9591;.9766
06/23/1986;00:00:01;0;.95975;.96215;.942;.9652
06/30/1986;00:00:01;0;.96645;.98135;.9629;.9842
07/07/1986;00:00:01;0;.9792;.98395;.9766;.9898
07/14/1986;00:00:01;0;.98065;.9811;.97;.9861
07/21/1986;00:00:01;0;.98655;.9941;.9842;.9998
07/28/1986;00:00:01;0;.99055;.99765;.9827;1.0012
08/04/1986;00:00:01;0;.99955;1.00575;.996;1.0135
08/11/1986;00:00:01;0;1.01165;1.0161;1.0093;1.023
08/18/1986;00:00:01;0;1.01615;1.01895;1.0135;1.0244
08/25/1986;00:00:01;0;1.02655;1.02415;1.0211;1.0292
09/01/1986;00:00:01;0;1.0211;1.03225;1.0178;1.0344
09/08/1986;00:00:01;0;1.03105;1.01635;1.0126;1.0362
09/15/1986;00:00:01;0;1.01735;1.02205;.9977;1.0247
09/22/1986;00:00:01;0;1.0249;1.02095;1.0162;1.0474
09/29/1986;00:00:01;0;1.0207;1.02755;1.0152;1.0318
10/06/1986;00:00:01;0;1.02495;1.03655;1.0233;1.0432
10/13/1986;00:00:01;0;1.0353;1.046;1.0332;1.0498
10/20/1986;00:00:01;0;1.0477;1.0398;1.0374;1.0503
10/27/1986;00:00:01;0;1.0441;1.0216;1.0133;1.046
11/03/1986;00:00:01;0;1.02305;1.01125;1.0024;1.0285
11/10/1986;00:00:01;0;1.01195;1.0202;1.0029;1.0233
11/17/1986;00:00:01;0;1.0242;1.0273;1.0199;1.0341
11/24/1986;00:00:01;0;1.0299;1.03395;1.0233;1.0394
12/01/1986;00:00:01;0;1.0403;1.0486;1.0374;1.0554
12/08/1986;00:00:01;0;1.0453;1.02895;1.0247;1.0512
12/15/1986;00:00:01;0;1.0285;1.0266;1.0214;1.0323
12/22/1986;00:00:01;0;1.028;1.0472;1.0266;1.0512
12/29/1986;00:00:01;0;1.0493;1.0576;1.0474;1.0617
01/05/1987;00:00:01;0;1.06755;1.07475;1.0607;1.0834
01/12/1987;00:00:01;0;1.0772;1.08145;1.0677;1.0909
01/19/1987;00:00:01;0;1.0968;1.13715;1.0921;1.1411
01/26/1987;00:00:01;0;1.12355;1.1324;1.1113;1.1387
02/02/1987;00:00:01;0;1.1346;1.13235;1.1219;1.163
02/09/1987;00:00:01;0;1.1477;1.11895;1.1034;1.1524
02/16/1987;00:00:01;0;1.1387;1.1355;1.1234;1.1474
02/23/1987;00:00:01;0;1.1378;1.1299;1.1093;1.1399
03/02/1987;00:00:01;0;1.1241;1.1322;1.1203;1.1382
03/09/1987;00:00:01;0;1.1293;1.1215;1.1188;1.134
03/16/1987;00:00:01;0;1.1187;1.12605;1.1117;1.129
03/23/1987;00:00:01;0;1.13145;1.14025;1.1285;1.1414
03/30/1987;00:00:01;0;1.14185;1.1502;1.1321;1.1539
04/06/1987;00:00:01;0;1.1483;1.1363;1.1331;1.152
04/13/1987;00:00:01;0;1.1367;1.14845;1.1285;1.1512
04/20/1987;00:00:01;0;1.1535;1.1454;1.1402;1.157
04/27/1987;00:00:01;0;1.1426;1.1626;1.1384;1.1677
05/04/1987;00:00:01;0;1.1604;1.16745;1.1512;1.1703
05/11/1987;00:00:01;0;1.1697;1.1563;1.153;1.175
05/18/1987;00:00:01;0;1.15975;1.1656;1.155;1.1698
05/25/1987;00:00:01;0;1.1676;1.1646;1.1622;1.1742
06/01/1987;00:00:01;0;1.15105;1.1336;1.1284;1.1607
06/08/1987;00:00:01;0;1.14485;1.14705;1.1322;1.1575
06/15/1987;00:00:01;0;1.1552;1.14285;1.1358;1.1624
06/22/1987;00:00:01;0;1.13935;1.12905;1.1265;1.1432
06/29/1987;00:00:01;0;1.1271;1.13225;1.1218;1.1419
07/06/1987;00:00:01;0;1.13375;1.12775;1.1249;1.1395
07/13/1987;00:00:01;0;1.1287;1.12405;1.1204;1.1318
07/20/1987;00:00:01;0;1.12465;1.1156;1.1118;1.1374
07/27/1987;00:00:01;0;1.11625;1.11975;1.1123;1.1226
08/03/1987;00:00:01;0;1.11785;1.1108;1.105;1.1204
08/10/1987;00:00:01;0;1.10255;1.0955;1.0925;1.1081
08/17/1987;00:00:01;0;1.09385;1.1063;1.0902;1.11
08/24/1987;00:00:01;0;1.1189;1.13785;1.1107;1.1489
08/31/1987;00:00:01;0;1.1358;1.1415;1.1284;1.1466
09/07/1987;00:00:01;0;1.1438;1.15405;1.1411;1.1584
09/14/1987;00:00:01;0;1.15605;1.14335;1.1379;1.1582
09/21/1987;00:00:01;0;1.14195;1.1456;1.1379;1.1507
09/28/1987;00:00:01;0;1.14195;1.13715;1.1342;1.146
10/05/1987;00:00:01;0;1.1312;1.12615;1.1227;1.1356
10/12/1987;00:00:01;0;1.13055;1.14445;1.1273;1.1474
10/19/1987;00:00:01;0;1.14175;1.168;1.1379;1.171
10/26/1987;00:00:01;0;1.15045;1.1678;1.14;1.1734
11/02/1987;00:00:01;0;1.1723;1.2002;1.1659;1.2069
11/09/1987;00:00:01;0;1.20325;1.23705;1.1963;1.2433
11/16/1987;00:00:01;0;1.2386;1.2134;1.2125;1.2488
11/23/1987;00:00:01;0;1.2165;1.23425;1.2115;1.2419
11/30/1987;00:00:01;0;1.2289;1.2575;1.222;1.2625
12/07/1987;00:00:01;0;1.2509;1.234;1.2294;1.2581
12/14/1987;00:00:01;0;1.23675;1.26685;1.2321;1.2708
12/21/1987;00:00:01;0;1.2659;1.2657;1.2588;1.2754
12/28/1987;00:00:01;0;1.2671;1.28955;1.2558;1.2949
01/04/1988;00:00:01;0;1.2914;1.30425;1.2865;1.3122
01/11/1988;00:00:01;0;1.2791;1.26;1.2368;1.2967
01/18/1988;00:00:01;0;1.26185;1.2231;1.2178;1.2718
01/25/1988;00:00:01;0;1.23015;1.23225;1.2242;1.2505
02/01/1988;00:00:01;0;1.23235;1.22305;1.2184;1.2412
02/08/1988;00:00:01;0;1.225;1.21415;1.2099;1.2313
02/15/1988;00:00:01;0;1.21425;1.20665;1.196;1.2239
02/22/1988;00:00:01;0;1.2078;1.2147;1.2026;1.2192
02/29/1988;00:00:01;0;1.2197;1.22395;1.2143;1.2263
03/07/1988;00:00:01;0;1.2233;1.2289;1.2169;1.2369
03/14/1988;00:00:01;0;1.2383;1.24635;1.2322;1.2499
03/21/1988;00:00:01;0;1.2421;1.22555;1.2194;1.2454
03/28/1988;00:00:01;0;1.226;1.2457;1.2219;1.2529
04/04/1988;00:00:01;0;1.24615;1.2554;1.2396;1.2586
04/11/1988;00:00:01;0;1.24705;1.234;1.2284;1.2521
04/18/1988;00:00:01;0;1.2301;1.2497;1.2219;1.2536
04/25/1988;00:00:01;0;1.24755;1.239;1.2364;1.2501
05/02/1988;00:00:01;0;1.24;1.2342;1.2315;1.2446
05/09/1988;00:00:01;0;1.23585;1.234;1.2297;1.2379
05/16/1988;00:00:01;0;1.237;1.2327;1.2297;1.2401
05/23/1988;00:00:01;0;1.22525;1.22315;1.2146;1.2359
05/30/1988;00:00:01;0;1.2127;1.20995;1.1996;1.226
06/06/1988;00:00:01;0;1.2062;1.2053;1.1964;1.2106
06/13/1988;00:00:01;0;1.21055;1.20475;1.2024;1.2127
06/20/1988;00:00:01;0;1.19625;1.18305;1.1798;1.2056
06/27/1988;00:00:01;0;1.1825;1.1388;1.1349;1.1848
07/04/1988;00:00:01;0;1.14525;1.13525;1.133;1.1549
07/11/1988;00:00:01;0;1.1377;1.1272;1.124;1.1459
07/18/1988;00:00:01;0;1.1288;1.1031;1.0971;1.1315
07/25/1988;00:00:01;0;1.1157;1.1341;1.1096;1.1427
08/01/1988;00:00:01;0;1.12365;1.11155;1.1066;1.1296
08/08/1988;00:00:01;0;1.1156;1.09795;1.0945;1.1214
08/15/1988;00:00:01;0;1.09365;1.1086;1.0838;1.1134
08/22/1988;00:00:01;0;1.10905;1.0884;1.0827;1.1186
08/29/1988;00:00:01;0;1.0912;1.1101;1.0861;1.1195
09/05/1988;00:00:01;0;1.1101;1.11675;1.1023;1.1197
09/12/1988;00:00:01;0;1.12055;1.1201;1.1152;1.1259
09/19/1988;00:00:01;0;1.1202;1.10745;1.0997;1.1233
09/26/1988;00:00:01;0;1.10935;1.0991;1.0955;1.1116
10/03/1988;00:00:01;0;1.10235;1.1117;1.0997;1.1145
10/10/1988;00:00:01;0;1.1137;1.11665;1.1091;1.1186
10/17/1988;00:00:01;0;1.12005;1.1457;1.117;1.1499
10/24/1988;00:00:01;0;1.14365;1.15755;1.1384;1.1631
10/31/1988;00:00:01;0;1.1546;1.16515;1.1512;1.1732
11/07/1988;00:00:01;0;1.1595;1.16055;1.1536;1.1718
11/14/1988;00:00:01;0;1.1627;1.18855;1.1497;1.1944
11/21/1988;00:00:01;0;1.1868;1.19555;1.1839;1.2084
11/28/1988;00:00:01;0;1.20125;1.19835;1.1942;1.2117
12/05/1988;00:00:01;0;1.19805;1.20625;1.1928;1.2084
12/12/1988;00:00:01;0;1.20145;1.1931;1.1798;1.2068
12/19/1988;00:00:01;0;1.1889;1.18055;1.1742;1.1959
12/26/1988;00:00:01;0;1.172;1.17125;1.1652;1.1788
01/02/1989;00:00:01;0;1.17085;1.17355;1.1553;1.1753
01/09/1989;00:00:01;0;1.17805;1.14275;1.1349;1.1825
01/16/1989;00:00:01;0;1.1394;1.12705;1.1219;1.1468
01/23/1989;00:00:01;0;1.1278;1.13455;1.1116;1.1412
01/30/1989;00:00:01;0;1.1373;1.1197;1.1161;1.1442
02/06/1989;00:00:01;0;1.117;1.10925;1.1039;1.1228
02/13/1989;00:00:01;0;1.1114;1.11645;1.1048;1.1352
02/20/1989;00:00:01;0;1.1253;1.13295;1.1187;1.1387
02/27/1989;00:00:01;0;1.1279;1.14155;1.1228;1.1463
03/06/1989;00:00:01;0;1.1373;1.12485;1.1201;1.1408
03/13/1989;00:00:01;0;1.1206;1.11515;1.1128;1.1233
03/20/1989;00:00:01;0;1.11715;1.11085;1.1072;1.1204
03/27/1989;00:00:01;0;1.11295;1.10715;1.1039;1.1171
04/03/1989;00:00:01;0;1.1064;1.10235;1.0937;1.1156
04/10/1989;00:00:01;0;1.10955;1.1069;1.1031;1.116
04/17/1989;00:00:01;0;1.10555;1.11905;1.1024;1.1209
04/24/1989;00:00:01;0;1.11935;1.12015;1.1152;1.1268
05/01/1989;00:00:01;0;1.1157;1.1026;1.0993;1.1192
05/08/1989;00:00:01;0;1.10215;1.09315;1.088;1.1052
05/15/1989;00:00:01;0;1.08885;1.07505;1.0686;1.0983
05/22/1989;00:00:01;0;1.07415;1.0444;1.0324;1.0774
05/29/1989;00:00:01;0;1.0347;1.0351;1.0279;1.0634
06/05/1989;00:00:01;0;1.036;1.0569;1.0279;1.07
06/12/1989;00:00:01;0;1.0465;1.02475;1.0199;1.0573
06/19/1989;00:00:01;0;1.0258;1.04305;1.0114;1.0497
06/26/1989;00:00:01;0;1.0466;1.05665;1.0379;1.0704
07/03/1989;00:00:01;0;1.05915;1.0646;1.0491;1.0731
07/10/1989;00:00:01;0;1.07595;1.1094;1.0719;1.1148
07/17/1989;00:00:01;0;1.10095;1.0837;1.0789;1.1052
07/24/1989;00:00:01;0;1.08665;1.08935;1.0759;1.0974
07/31/1989;00:00:01;0;1.09675;1.11055;1.0914;1.1156
08/07/1989;00:00:01;0;1.1147;1.08355;1.0789;1.1219
08/14/1989;00:00:01;0;1.09015;1.0664;1.0607;1.099
08/21/1989;00:00:01;0;1.06655;1.05925;1.0515;1.0711
08/28/1989;00:00:01;0;1.06505;1.05835;1.0542;1.0713
